node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.856086,143.913652,0.464559,0.0
1,7,99999.808096,191.894459,0.721097,0.0
1,16,99999.808096,191.894459,0.730991,0.0
2,4,99999.808115,191.884869,0.0,0.0
2,7,99999.856072,143.920844,0.0,0.0
2,12,99999.808096,191.894459,0.0,0.0
2,13,99999.808115,191.875282,0.0,0.0
2,18,24999.808096,191.894459,0.0,0.0
2,23,24999.808096,191.894459,0.0,0.0
3,10,99999.856086,143.906461,0.0,0.0
3,11,24999.808096,191.894459,0.0,0.0
3,14,1549.808115,191.884869,0.0,0.0
3,21,99999.808115,191.884869,0.0,0.0
4,16,99999.808096,191.894459,0.0,0.0
5,8,24999.808115,191.875282,0.0,0.0
5,16,24999.808115,191.884869,0.0,0.0
6,7,1549.808096,191.894459,0.0,0.0
6,19,1549.808096,191.894459,0.0,0.0
7,17,99999.808115,191.884869,0.0,0.0
7,19,24999.808115,191.884869,0.0,0.0
7,21,99999.808115,191.884869,0.0,0.0
8,9,24999.808115,191.875282,0.0,0.0
9,15,24999.808115,191.884869,0.0,0.0
9,16,99999.808115,191.884869,0.0,12.5
10,11,24999.808115,191.875282,0.0,0.0
10,12,99999.856072,143.920844,0.0,0.0
10,16,99999.808115,191.875282,0.0,0.0
10,17,99999.808115,191.884869,0.0,0.0
12,22,99999.808115,191.884869,0.0,0.0
13,14,1549.808115,191.875282,0.0,0.0
13,17,99999.808115,191.875282,0.0,0.0
13,19,24999.808115,191.875282,0.0,0.0
15,20,24999.808115,191.884869,0.0,0.0
17,20,99999.808115,191.884869,0.0,0.0
17,23,24999.808115,191.884869,0.0,0.0
18,21,24999.808115,191.884869,0.0,0.0
20,22,24999.808115,191.884869,0.0,0.0
